GEOID,population,station_complex_id,station_complex_name,orig_node,network_dist_m,network_dist_mi
360050289003,1210,295.0,231 St (1),1581436712,743.2668107365314,0.46184573224833253
360050279003,1967,295.0,231 St (1),42751953,783.1021414852408,0.4865983207310083
360050279002,960,295.0,231 St (1),11653240777,790.0036018639609,0.4908867000534138
360050279001,634,295.0,231 St (1),13033155129,798.8842773641557,0.4964049096922687
360050267023,1377,295.0,231 St (1),13038491530,814.7203226300868,0.5062449964768705
360050285004,1435,295.0,231 St (1),13146730911,880.9071837072722,0.5473717074746618
360050295004,541,295.0,231 St (1),10132643250,926.2698608645192,0.575558838321622
360050269003,728,295.0,231 St (1),7043045076,928.864822780148,0.5771712769086383
360050279006,1823,295.0,231 St (1),11537772687,940.055152384967,0.584124642639198
360050273003,2409,295.0,231 St (1),13038509920,960.2655154139576,0.5966828112232081
360050283002,1118,295.0,231 St (1),10860256468,966.7185858326226,0.6006925732490478
360610309001,0,295.0,231 St (1),2041169515,968.1756027436243,0.601597923834382
360050267021,2220,295.0,231 St (1),11653240898,977.2123172534526,0.6072130918596771
360610309005,2503,295.0,231 St (1),10868090747,998.3521937381615,0.6203488347634195
360050267025,1030,295.0,231 St (1),13038509923,1017.847245187622,0.6324625282336995
360050267024,611,295.0,231 St (1),13038509923,1017.847245187622,0.6324625282336995
360050295003,1290,295.0,231 St (1),10132643489,1118.0584450085435,0.6947310357093861
360050285002,484,295.0,231 St (1),1580125499,1133.1310563026511,0.7040967454376647
360050279005,938,295.0,231 St (1),8348426854,1222.5448113824923,0.7596560151257611
360050279004,1562,295.0,231 St (1),11653240836,1229.607994081503,0.7640448842889029
360050267026,1535,295.0,231 St (1),42769918,1232.9603452435647,0.7661279439046844
360050285001,1223,295.0,231 St (1),1580125557,1243.5205274256143,0.7726897532066651
360050285003,396,295.0,231 St (1),1580041189,1248.507669349897,0.7757886272322176
360050269002,1827,295.0,231 St (1),42719558,1279.491470096274,0.7950411162938062
360050335003,1123,295.0,231 St (1),42754001,1281.0671458239228,0.796020198232768
360050267022,1089,295.0,231 St (1),7805787936,1370.7943370847743,0.8517742286184239
360050281002,1300,295.0,231 St (1),11653240704,1414.7676862965566,0.8790980689578067
360050267011,1553,295.0,231 St (1),13247599307,1416.4543120909577,0.8801460922433779
360050295002,1074,295.0,231 St (1),1580125539,1418.832435688817,0.8816237934114712
360610299002,0,295.0,231 St (1),11591951183,1444.4635713869727,0.8975502823436767
360610307002,1329,295.0,231 St (1),12181615047,1449.7021538856795,0.900805394687064
360050267012,1423,295.0,231 St (1),42752259,1472.3925953968871,0.9149046164246755
360050267013,1010,295.0,231 St (1),42752776,1477.4778356595862,0.9180644460832306
360610307001,795,295.0,231 St (1),11587266258,1497.7416454067168,0.9306558250007562
360610307003,1909,295.0,231 St (1),9561209045,1513.8537483594448,0.9406674465056761
360050295001,1496,295.0,231 St (1),6853723848,1528.742825822748,0.9499191133152398
360050269001,1097,295.0,231 St (1),13252243857,1530.2395748064419,0.9508491523273155
360610303003,1702,295.0,231 St (1),11587349760,1602.2445223581203,0.9955910636398277
360610309002,2270,296.0,Marble Hill-225 St (1),10868090625,268.02225580961135,0.16654172257547278
360610309003,3463,296.0,Marble Hill-225 St (1),2303340578,297.36356141387716,0.18477360993567374
360610309004,2954,296.0,Marble Hill-225 St (1),10868090698,413.62484514863337,0.25701520197635885
360610309005,2503,296.0,Marble Hill-225 St (1),10868090747,424.1386901232696,0.2635482186009604
360050289001,1141,296.0,Marble Hill-225 St (1),13039230846,527.9160012377715,0.3280326104103369
360050289002,1526,296.0,Marble Hill-225 St (1),13039230843,535.9191191986997,0.3330055297194501
360050283001,968,296.0,Marble Hill-225 St (1),5130958280,570.3850012316861,0.35442168915933625
360050273001,929,296.0,Marble Hill-225 St (1),42731479,603.6467412007603,0.3750896275496541
360610309001,0,296.0,Marble Hill-225 St (1),2041169515,617.7236313409662,0.38383662329959256
360050269003,728,296.0,Marble Hill-225 St (1),7043045076,622.7447583964185,0.3869566147591053
360610307002,1329,296.0,Marble Hill-225 St (1),12181615047,759.83250523529,0.4721392031735308
360050273004,1803,296.0,Marble Hill-225 St (1),13037124062,777.9218992620395,0.48337945944426874
360050289004,732,296.0,Marble Hill-225 St (1),8499608055,797.4643314712891,0.49552259402692356
360610307001,795,296.0,Marble Hill-225 St (1),11587266258,807.871996756327,0.5019896334872227
