station_complex_id,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,jobs_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_0p5mi,median_hh_income_0p5mi,pct_workers_wfh_0p5mi,pct_car_truck_van_0p5mi,pct_transit_0p5mi,pct_taxicab_0p5mi,pct_bicycle_0p5mi,pct_walked_0p5mi,pct_other_means_0p5mi,pct_wfh_0p5mi,median_hh_income_0p5mi_approx,bus_routes_0p5mi,subway_lines_0p5mi,commuter_lines_0p5mi,dist_to_commuter_stop_ft,dist_to_commuter_stop_mi,transfer_subway_station_complexes_0p25mi,transfer_subway_station_complexes_0p10mi,dist_to_subway_station_complex_ft,dist_to_subway_station_complex_mi,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,has_cultural_0p5mi,cultural_count_0p5mi_capped10,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi
276,"5 Av/53 St (E,F)",0.784137123,27454,394,21528,1.087365288,0.494881269,0.533737893,9,470752,268,341.7769575,35,4.08961443,139746.7484,11.97010057,2.975276334,36.27270228,5.255680215,1.043484755,40.88579963,0.482618116,11.97010057,141566,78,16,9,1824.607411,0.345569585,0,0,0,0,0,0,0,1,0,0,0,30,88,1,10,1,10,0,1
232,2 Av (F),0.784137123,85326,46,66907,1.78924315,0.74617235,0.78793022,11,71775,564,719.2619552,41,5.981715098,82132.99124,11.86942398,4.164749653,50.65859548,1.973457354,5.911415479,22.84328446,0.759742068,11.86942398,85692,25,14,0,9956.282749,1.885659612,0,0,0,0,0,0,0,1,0,0,0,39,183,1,10,1,10,0,0
625,"Delancey St-Essex St (F,M,J,Z)",0.784137123,90040,35,70604,1.788208612,0.745740914,0.785726378,11,36296,794,1012.578001,40,8.4630318,63775.10496,9.353219053,5.999610805,51.98903095,1.390060716,5.372534934,22.84246595,0.589656597,9.353219053,63688,9,7,0,11800.57041,2.234956517,0,0,0,0,0,0,0,0,0,0,0,32,88,1,10,1,10,0,0
234,East Broadway (F),0.784137123,78465,67,61527,1.854035382,0.773192809,0.799397933,11,31200,784,999.8251293,28,9.923743128,46601.51485,8.393682525,5.984413354,49.20549291,1.120510033,2.993926276,27.52536832,0.837276803,8.393682525,47901,13,7,0,11686.84228,2.213417099,0,0,0,0,0,0,0,0,0,0,0,15,68,1,10,1,10,0,0
235,York St (F),0.784137123,29765,387,23340,2.063582088,0.860580573,0.850471165,11,18930,1000,1275.287155,24,6.545458081,142672.1754,14.61992986,5.470366895,60.10959266,2.469723933,2.274556188,13.32048172,0.653524594,14.61992986,102700,11,6,0,7176.470719,1.35918006,0,0,0,0,0,0,1,1,0,0,0,26,37,1,10,1,10,0,0
236,"Bergen St (F,G)",0.784137123,56188,181,44059,1.899887222,0.792314512,0.812846021,11,94368,338,431.0470583,28,6.293869426,138653.6098,13.99759172,5.295863706,62.40652927,1.030391347,3.896282514,11.63475937,0.69165248,13.99759172,140927,13,12,0,4314.236781,0.817090299,0,0,0,0,0,0,0,1,0,1,0,11,36,1,10,1,10,0,0
237,"Carroll St (F,G)",0.784137123,41409,305,32470,2.093869323,0.873211331,0.845940854,11,9551,514,655.4975975,19,7.836630182,138107.7374,14.66128239,6.300259489,56.39578658,2.096072371,5.587130067,13.26785131,0.088985968,14.66128239,144533,9,2,0,5506.572816,1.042911518,0,0,0,0,0,0,0,1,0,0,0,10,21,1,10,1,10,0,0
238,"Smith-9 Sts (F,G)",0.784137123,23746,405,18620,2.166324368,0.903427432,0.864551136,11,9528,548,698.8573608,17,8.464784622,133982.3009,13.5892561,6.273258392,58.58214816,2.306817807,4.247847498,12.51980668,0.288789131,13.5892561,127942,10,6,0,6706.85137,1.270237002,0,0,0,0,0,0,0,0,0,0,0,2,15,1,2,1,10,0,0
608,"4 Av-9 St (F,G,R)",0.784137123,37505,333,29409,2.06345817,0.860528895,0.847799105,11,12710,396,505.0137133,21,10.80194823,137749.5905,13.46317769,9.18141269,63.2192744,0.519298253,2.475876041,8.436082414,1.012700578,13.46317769,138094,6,6,0,6025.78848,1.141247818,0,0,0,0,0,0,0,0,1,1,0,7,32,1,7,1,10,0,0
240,"7 Av (F,G)",0.784137123,49624,232,38912,1.553368212,0.64780486,0.722850808,11,14845,136,173.439053,19,9.559961673,147493.2929,15.44558275,8.230275972,61.78011935,0.66608671,3.05136086,8.895997045,0.599152429,15.44558275,150797,5,3,0,6441.525156,1.219985825,0,0,0,0,0,0,0,0,1,1,0,7,22,1,7,1,10,1,1
241,"15 St-Prospect Park (F,G)",0.784137123,35023,348,27463,1.23407864,0.535953544,0.578895603,10,4990,224,285.6643226,13,12.03460202,128567.6408,13.94123016,9.947816466,61.15533779,0.603504557,3.840873888,8.367773021,0.05667856,13.94123016,139636,4,3,0,8529.841861,1.615500353,0,0,0,0,0,0,0,0,0,1,0,3,10,1,3,1,10,1,1
242,"Fort Hamilton Pkwy (F,G)",0.784137123,32547,367,25521,1.44714404,0.60350594,0.665856547,11,9333,373,475.6821087,20,15.92998472,102452.1691,11.13490679,12.82773182,64.37600403,0.449780443,2.415023436,5.299078258,0.299612491,11.13490679,102492,8,2,0,11955.08869,2.264221342,0,0,0,0,0,0,0,0,0,0,0,7,15,1,7,1,10,1,1
243,"Church Av (F,G)",0.784137123,47947,250,37597,1.81637995,0.757489274,0.783269901,11,19505,255,325.1982244,20,18.59184972,81000.52974,10.81120233,15.9031661,58.56880327,0.498392412,1.306044785,9.692119189,0.478296053,10.81120233,82163,8,3,0,14453.79551,2.737461272,0,0,0,0,0,0,0,1,0,0,0,3,6,1,3,1,6,0,0
244,Ditmas Av (F),0.784137123,61137,142,47940,1.760046377,0.73399635,0.766222367,11,23290,190,242.3045594,8,26.4406841,54625.15847,7.426618958,20.80204354,44.38400456,1.362618731,1.16368032,18.79690064,0.310228179,7.426618958,58604,6,2,0,17311.09541,3.278616556,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0
245,18 Av (F),0.784137123,47788,253,37472,1.596347094,0.665728446,0.696969331,11,14176,271,345.6028189,1,34.55329917,50723.79506,5.028724197,27.3476098,38.66266182,1.25539735,1.243390087,18.71487985,0.541647534,5.028724197,56060,3,2,0,19431.29417,3.680169351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
246,Avenue I (F),0.784137123,31723,372,24875,1.747080798,0.728589283,0.757132799,11,11732,272,346.8781061,0,37.36612765,50759.23825,4.774752334,28.92208436,33.32419515,1.121881483,1.159174396,21.66877497,0.585094014,4.774752334,55684,3,2,0,20826.38504,3.944391107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Bay Pkwy (F),0.784137123,31053,381,24350,1.660066911,0.692301674,0.709007526,11,6105,230,293.3160456,0,38.73622803,63466.08945,5.422794071,27.22122571,36.88922137,0.908671211,1.400024216,16.2958019,0.347259197,5.422794071,60861,3,2,0,22293.09318,4.222176738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
