station_complex_id,year,annual_weekday_avg_ridership,station_complex,borough,latitude,longitude,geometry,log_ridership
48.0,2023,2256.5641025641025,Avenue H (Q),Brooklyn,40.62927,-73.96164,POINT (-73.96164 40.62927),7.722041680265232
48.0,2024,2336.2767295597487,Avenue H (Q),Brooklyn,40.62927,-73.96164,POINT (-73.96164 40.62927),7.7567417398349425
49.0,2023,3956.5641025641025,Avenue J (Q),Brooklyn,40.62504,-73.9608,POINT (-73.9608 40.62504),8.28338398936602
49.0,2024,3864.0377358490564,Avenue J (Q),Brooklyn,40.62504,-73.9608,POINT (-73.9608 40.62504),8.259726724453564
50.0,2023,4118.032051282051,Avenue M (Q),Brooklyn,40.61762,-73.9594,POINT (-73.9594 40.61762),8.323373475731868
50.0,2024,3997.169811320755,Avenue M (Q),Brooklyn,40.61762,-73.9594,POINT (-73.9594 40.61762),8.29359198822557
51.0,2023,14789.692307692309,"Kings Hwy (B,Q)",Brooklyn,40.60867,-73.95773,POINT (-73.95773 40.60867),9.601753363783928
51.0,2024,14248.641509433963,"Kings Hwy (B,Q)",Brooklyn,40.60867,-73.95773,POINT (-73.95773 40.60867),9.564487028147644
52.0,2023,5161.8974358974365,Avenue U (Q),Brooklyn,40.5993,-73.95593,POINT (-73.95593 40.5993),8.549253219467813
52.0,2024,4984.93710691824,Avenue U (Q),Brooklyn,40.5993,-73.95593,POINT (-73.95593 40.5993),8.514376650068575
53.0,2023,3216.403846153846,Neck Rd (Q),Brooklyn,40.595245,-73.95516,POINT (-73.95516 40.595245),8.076330054378458
53.0,2024,3274.723270440252,Neck Rd (Q),Brooklyn,40.595245,-73.95516,POINT (-73.95516 40.595245),8.094293969622433
54.0,2023,9797.461538461539,"Sheepshead Bay (B,Q)",Brooklyn,40.586895,-73.954155,POINT (-73.954155 40.586895),9.18998066646382
54.0,2024,9602.616352201258,"Sheepshead Bay (B,Q)",Brooklyn,40.586895,-73.954155,POINT (-73.954155 40.586895),9.169895009875331
55.0,2023,8573.205128205129,"Brighton Beach (B,Q)",Brooklyn,40.57762,-73.96137,POINT (-73.96137 40.57762),9.056513571318336
55.0,2024,8074.33962264151,"Brighton Beach (B,Q)",Brooklyn,40.57762,-73.96137,POINT (-73.96137 40.57762),8.996570205737878
56.0,2023,2377.9615384615386,Ocean Pkwy (Q),Brooklyn,40.576313,-73.9685,POINT (-73.9685 40.576313),7.77441934306909
56.0,2024,2179.396226415094,Ocean Pkwy (Q),Brooklyn,40.576313,-73.9685,POINT (-73.9685 40.576313),7.687261894503934
57.0,2023,1925.4166666666667,"W 8 St-NY Aquarium (F,Q)",Brooklyn,40.576126,-73.97594,POINT (-73.97594 40.576126),7.563416906793576
57.0,2024,1782.3899371069183,"W 8 St-NY Aquarium (F,Q)",Brooklyn,40.576126,-73.97594,POINT (-73.97594 40.576126),7.486271291152011
58.0,2023,9918.538461538461,"Coney Island-Stillwell Av (D,F,N,Q)",Brooklyn,40.577423,-73.98123,POINT (-73.98123 40.577423),9.202261673141958
58.0,2024,10027.182389937107,"Coney Island-Stillwell Av (D,F,N,Q)",Brooklyn,40.577423,-73.98123,POINT (-73.98123 40.577423),9.213154647179906
59.0,2023,3984.2179487179487,9 Av (D),Brooklyn,40.646294,-73.99432,POINT (-73.99432 40.646294),8.290347282004268
59.0,2024,3990.5408805031443,9 Av (D),Brooklyn,40.646294,-73.99432,POINT (-73.99432 40.646294),8.291932620923207
60.0,2023,2902.9871794871797,Fort Hamilton Pkwy (D),Brooklyn,40.640915,-73.9943,POINT (-73.9943 40.640915),7.9738399611577995
60.0,2024,2957.333333333333,Fort Hamilton Pkwy (D),Brooklyn,40.640915,-73.9943,POINT (-73.9943 40.640915),7.992381325675507
61.0,2023,2538.0641025641025,50 St (D),Brooklyn,40.63626,-73.99479,POINT (-73.99479 40.63626),7.839550828555766
61.0,2024,2538.509433962264,50 St (D),Brooklyn,40.63626,-73.99479,POINT (-73.99479 40.63626),7.839726205124049
62.0,2023,1400.9358974358975,55 St (D),Brooklyn,40.631435,-73.995476,POINT (-73.995476 40.631435),7.245609344320924
62.0,2024,1390.1257861635222,55 St (D),Brooklyn,40.631435,-73.995476,POINT (-73.995476 40.631435),7.237868616421309
64.0,2023,3450.2371794871797,71 St (D),Brooklyn,40.61959,-73.99886,POINT (-73.99886 40.61959),8.146488048492714
64.0,2024,3469.4716981132074,71 St (D),Brooklyn,40.61959,-73.99886,POINT (-73.99886 40.61959),8.152045799758115
65.0,2023,4289.660256410257,79 St (D),Brooklyn,40.613503,-74.00061,POINT (-74.00061 40.613503),8.364195906002898
65.0,2024,4574.578616352201,79 St (D),Brooklyn,40.613503,-74.00061,POINT (-74.00061 40.613503),8.428488443232126
66.0,2023,4325.25,18 Av (D),Brooklyn,40.607952,-74.00174,POINT (-74.00174 40.607952),8.372456394949554
66.0,2024,4385.5157232704405,18 Av (D),Brooklyn,40.607952,-74.00174,POINT (-74.00174 40.607952),8.38629050603037
67.0,2023,3588.2884615384614,20 Av (D),Brooklyn,40.604557,-73.99817,POINT (-73.99817 40.604557),8.18570926170952
67.0,2024,3606.805031446541,20 Av (D),Brooklyn,40.604557,-73.99817,POINT (-73.99817 40.604557),8.190854841875007
68.0,2023,5559.923076923077,Bay Pkwy (D),Brooklyn,40.601875,-73.99373,POINT (-73.99373 40.601875),8.623519394493993
68.0,2024,5311.37106918239,Bay Pkwy (D),Brooklyn,40.601875,-73.99373,POINT (-73.99373 40.601875),8.577793543607793
69.0,2023,3141.089743589743,25 Av (D),Brooklyn,40.597706,-73.98683,POINT (-73.98683 40.597706),8.05264338097601
