station_complex,station_complex_id,borough,latitude,longitude,geometry,avg_annual_ridership,log_avg_ridership
"36 St (M,R)",272.0,Queens,40.75204,-73.92878,POINT (-73.92878 40.75204),2685.9790759554908,7.896172821445421
"39 Av-Dutch Kills (N,W)",6.0,Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),2725.287977745525,7.91069624781607
"4 Av (F,G)/9 St (R)",608.0,Brooklyn,40.670273,-73.98978,POINT (-73.98978 40.670273),9184.428942912433,9.12537369693032
40 St-Lowery St (7),459.0,Queens,40.743782,-73.92402,POINT (-73.92402 40.743782),7224.420295113691,8.885360683622764
45 St (R),33.0,Brooklyn,40.648937,-74.01001,POINT (-74.01001 40.648937),5699.981011127237,8.6483935462292
"46 St (M,R)",270.0,Queens,40.756313,-73.91333,POINT (-73.91333 40.756313),5350.221758587325,8.585080179909575
46 St-Bliss St (7),458.0,Queens,40.743134,-73.918434,POINT (-73.918434 40.743134),9244.585449927432,9.13190146793059
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",225.0,Manhattan,40.758663,-73.98133,POINT (-73.98133 40.758663),42784.10201983551,10.66394523732601
"49 St (N,R,W)",10.0,Manhattan,40.7599,-73.98414,POINT (-73.98414 40.7599),18561.21171988389,9.828883165182514
"5 Av/53 St (E,M)",276.0,Manhattan,40.760166,-73.97523,POINT (-73.97523 40.760166),17243.084059022738,9.755224410537512
"5 Av/59 St (N,R,W)",8.0,Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),11365.11157474601,9.338391538344695
50 St (1),316.0,Manhattan,40.761726,-73.98385,POINT (-73.98385 40.761726),18476.304184808905,9.824298457109121
"50 St (C,E)",162.0,Manhattan,40.762455,-73.985985,POINT (-73.985985 40.762455),15805.847484276728,9.668198510211674
50 St (D),61.0,Brooklyn,40.63626,-73.99479,POINT (-73.99479 40.63626),2538.286768263183,7.839638520684525
52 St (7),457.0,Queens,40.74415,-73.91255,POINT (-73.91255 40.74415),4700.23717948718,8.45558098273742
53 St (R),34.0,Brooklyn,40.64507,-74.01403,POINT (-74.01403 40.64507),6286.876028059991,8.746378618275372
55 St (D),62.0,Brooklyn,40.631435,-73.995476,POINT (-73.995476 40.631435),1395.5308417997098,7.24174647021097
57 St (F),224.0,Manhattan,40.763973,-73.97745,POINT (-73.97745 40.763973),9096.78205128205,9.115785932169459
"57 St-7 Av (N,Q,R,W)",9.0,Manhattan,40.764664,-73.98066,POINT (-73.98066 40.764664),25519.28864296081,10.14722904785561
"59 St (N,R)",35.0,Brooklyn,40.64136,-74.01788,POINT (-74.01788 40.64136),9194.564223512336,9.126476497147404
"59 St-Columbus Circle (A,B,C,D,1)",614.0,Manhattan,40.768295,-73.981735,POINT (-73.981735 40.768295),52441.69297290759,10.867476289970757
61 St-Woodside (7),456.0,Queens,40.74563,-73.902985,POINT (-73.902985 40.74563),12963.56271165941,9.469974969032135
"63 Dr-Rego Park (M,R)",263.0,Queens,40.729847,-73.8616,POINT (-73.8616 40.729847),10059.19805273343,9.216342130610382
"65 St (M,R)",268.0,Queens,40.74967,-73.89845,POINT (-73.89845 40.74967),2402.650520077407,7.784743910743384
66 St-Lincoln Center (1),314.0,Manhattan,40.77344,-73.98221,POINT (-73.98221 40.77344),15573.27896710208,9.653376048336984
