station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
"170 St (B,D)",217.0,Bronx,40.839306,-73.9134,POINT (-73.9134 40.839306),2023,3598.0320512820513,8.18842021364706
"170 St (B,D)",217.0,Bronx,40.839306,-73.9134,POINT (-73.9134 40.839306),2024,3393.9622641509436,8.130047924806117
"174 St (2,5)",428.0,Bronx,40.837288,-73.88773,POINT (-73.88773 40.837288),2023,3700.8076923076924,8.216576544811621
"174 St (2,5)",428.0,Bronx,40.837288,-73.88773,POINT (-73.88773 40.837288),2024,3490.8176100628934,8.15817768480014
"174-175 Sts (B,D)",216.0,Bronx,40.8459,-73.91013,POINT (-73.91013 40.8459),2023,2804.455128205128,7.939321060839317
"174-175 Sts (B,D)",216.0,Bronx,40.8459,-73.91013,POINT (-73.91013 40.8459),2024,2667.132075471698,7.889133909360366
175 St (A),147.0,Manhattan,40.84739,-73.939705,POINT (-73.939705 40.84739),2023,7440.50641025641,8.914828581828772
175 St (A),147.0,Manhattan,40.84739,-73.939705,POINT (-73.939705 40.84739),2024,7218.918238993711,8.884598907583655
176 St (4),385.0,Bronx,40.84848,-73.9118,POINT (-73.9118 40.84848),2023,3252.2115384615386,8.087397953089951
176 St (4),385.0,Bronx,40.84848,-73.9118,POINT (-73.9118 40.84848),2024,3337.830188679245,8.113375781710968
18 Av (D),66.0,Brooklyn,40.607952,-74.00174,POINT (-74.00174 40.607952),2023,4325.25,8.372456394949554
18 Av (D),66.0,Brooklyn,40.607952,-74.00174,POINT (-74.00174 40.607952),2024,4385.5157232704405,8.38629050603037
18 Av (F),245.0,Brooklyn,40.629753,-73.976974,POINT (-73.976974 40.629753),2023,2592.378205128205,7.860716631103302
18 Av (F),245.0,Brooklyn,40.629753,-73.976974,POINT (-73.976974 40.629753),2024,2491.635220125786,7.821095751167195
18 Av (N),74.0,Brooklyn,40.62067,-73.99042,POINT (-73.99042 40.62067),2023,3725.3846153846152,8.223193770575133
18 Av (N),74.0,Brooklyn,40.62067,-73.99042,POINT (-73.99042 40.62067),2024,3596.8490566037735,8.188091461602612
18 St (1),321.0,Manhattan,40.74104,-73.99787,POINT (-73.99787 40.74104),2023,5925.320512820514,8.687158812533312
18 St (1),321.0,Manhattan,40.74104,-73.99787,POINT (-73.99787 40.74104),2024,5823.930817610062,8.669902401558232
181 St (1),301.0,Manhattan,40.849506,-73.93359,POINT (-73.93359 40.849506),2023,7649.801282051282,8.942565664087244
