station_complex_id,year,annual_weekday_avg_ridership,station_complex,borough,latitude,longitude,geometry,log_ridership,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,jobs_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_0p5mi,median_hh_income_0p5mi,pct_workers_wfh_0p5mi,pct_car_truck_van_0p5mi,pct_transit_0p5mi,pct_taxicab_0p5mi,pct_bicycle_0p5mi,pct_walked_0p5mi,pct_other_means_0p5mi,pct_wfh_0p5mi,median_hh_income_0p5mi_approx,bus_routes_0p5mi,subway_lines_0p5mi,commuter_lines_0p5mi,dist_to_commuter_stop_ft,dist_to_commuter_stop_mi,transfer_subway_station_complexes_0p25mi,transfer_subway_station_complexes_0p10mi,dist_to_subway_station_complex_ft,dist_to_subway_station_complex_mi,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,has_cultural_0p5mi,cultural_count_0p5mi_capped10,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi
14.0,2023,13741.78205128205,"23 St (R,W)",Manhattan,40.741302,-73.98934,POINT (-73.98934 40.741302),9.52826902353963,"23 St (R,W)",0.784137123,77434,69,60719,1.617383306,0.674501228,0.743933549,11,271767,254,323.9229373,35,4.800242402,142432.707,13.02311723,3.807775197,47.70912193,3.439349859,2.518004864,27.84754346,0.545984561,13.02311723,163727,48,14,0,3581.190154,0.678255711,0,0,0.0,0.0,0,0,1,1,0,0,0,46,157,1,10,1,10,0,0
14.0,2024,14441.610062893082,"23 St (R,W)",Manhattan,40.741302,-73.98934,POINT (-73.98934 40.741302),9.577938148391008,"23 St (R,W)",0.784137123,77434,69,60719,1.617383306,0.674501228,0.743933549,11,271767,254,323.9229373,35,4.800242402,142432.707,13.02311723,3.807775197,47.70912193,3.439349859,2.518004864,27.84754346,0.545984561,13.02311723,163727,48,14,0,3581.190154,0.678255711,0,0,0.0,0.0,0,0,1,1,0,0,0,46,157,1,10,1,10,0,0
16.0,2023,11496.897435897436,"8 St-NYU (R,W)",Manhattan,40.730328,-73.99263,POINT (-73.99263 40.730328),9.349919465974503,"8 St-NYU (R,W)",0.784137123,94234,28,73892,1.826175748,0.76157444,0.80617253,11,117632,382,487.1596931,42,5.54542639,129657.6149,14.34256105,4.008814369,45.50795552,2.709825958,4.975686345,25.94931204,0.70789352,14.34256105,132210,24,17,0,7386.264264,1.398913686,0,0,0.0,0.0,0,0,1,1,0,0,0,40,178,1,10,1,10,0,0
16.0,2024,12139.85534591195,"8 St-NYU (R,W)",Manhattan,40.730328,-73.99263,POINT (-73.99263 40.730328),9.404331518961174,"8 St-NYU (R,W)",0.784137123,94234,28,73892,1.826175748,0.76157444,0.80617253,11,117632,382,487.1596931,42,5.54542639,129657.6149,14.34256105,4.008814369,45.50795552,2.709825958,4.975686345,25.94931204,0.70789352,14.34256105,132210,24,17,0,7386.264264,1.398913686,0,0,0.0,0.0,0,0,1,1,0,0,0,40,178,1,10,1,10,0,0
17.0,2023,8397.711538461539,"Prince St (R,W)",Manhattan,40.72433,-73.9977,POINT (-73.9977 40.72433),9.03583358478783,"Prince St (R,W)",0.784137123,68372,97,53613,1.775742019,0.740541941,0.786884896,11,133783,495,631.2671416,39,5.292885624,107960.6796,15.86544962,3.627515338,45.90538067,2.89574283,3.729861639,25.48225482,0.532383859,15.86544962,108751,19,19,0,9634.963127,1.824803623,0,0,0.0,0.0,0,0,1,1,0,0,0,35,151,1,10,1,10,0,0
17.0,2024,8586.591194968552,"Prince St (R,W)",Manhattan,40.72433,-73.9977,POINT (-73.9977 40.72433),9.058073555975652,"Prince St (R,W)",0.784137123,68372,97,53613,1.775742019,0.740541941,0.786884896,11,133783,495,631.2671416,39,5.292885624,107960.6796,15.86544962,3.627515338,45.90538067,2.89574283,3.729861639,25.48225482,0.532383859,15.86544962,108751,19,19,0,9634.963127,1.824803623,0,0,0.0,0.0,0,0,1,1,0,0,0,35,151,1,10,1,10,0,0
20.0,2023,4037.73717948718,"City Hall (R,W)",Manhattan,40.713284,-74.00698,POINT (-74.00698 40.713284),8.303687342757236,"City Hall (R,W)",0.784137123,64781,120,50797,1.544572667,0.644136833,0.715947953,11,230876,769,980.6958219,37,5.214554594,181509.8986,12.72614259,3.950563185,48.23954631,3.285268242,1.537116513,27.70621975,1.291151989,12.72614259,149813,34,16,0,13868.48671,2.626607331,0,0,0.0,0.0,0,0,1,1,0,1,0,40,133,1,10,1,10,0,0
20.0,2024,4204.754716981132,"City Hall (R,W)",Manhattan,40.713284,-74.00698,POINT (-74.00698 40.713284),8.344209037153924,"City Hall (R,W)",0.784137123,64781,120,50797,1.544572667,0.644136833,0.715947953,11,230876,769,980.6958219,37,5.214554594,181509.8986,12.72614259,3.950563185,48.23954631,3.285268242,1.537116513,27.70621975,1.291151989,12.72614259,149813,34,16,0,13868.48671,2.626607331,0,0,0.0,0.0,0,0,1,1,0,1,0,40,133,1,10,1,10,0,0
22.0,2023,3907.897435897436,"Rector St (R,W)",Manhattan,40.70722,-74.01334,POINT (-74.01334 40.70722),8.271010627509986,"Rector St (R,W)",0.784137123,49834,224,39077,1.547241528,0.671958458,0.702963505,10,245139,786,1002.375704,31,3.5678923,188678.2488,11.64783644,3.04804804,52.07405997,2.17815506,0.559658743,28.8521892,0.977104519,11.64783644,186337,41,13,0,13535.17677,2.563480449,0,0,0.0,0.0,0,0,1,1,0,1,0,53,114,1,10,1,10,0,0
22.0,2024,4148.320754716981,"Rector St (R,W)",Manhattan,40.70722,-74.01334,POINT (-74.01334 40.70722),8.330699926266592,"Rector St (R,W)",0.784137123,49834,224,39077,1.547241528,0.671958458,0.702963505,10,245139,786,1002.375704,31,3.5678923,188678.2488,11.64783644,3.04804804,52.07405997,2.17815506,0.559658743,28.8521892,0.977104519,11.64783644,186337,41,13,0,13535.17677,2.563480449,0,0,0.0,0.0,0,0,1,1,0,1,0,53,114,1,10,1,10,0,0
